district,taluka,area,registrationNo,propertyName,propertyAddress,noOfRooms
North Goa,Bardez,Anjuna,HOTN000128,Omkar Guest House,"H.No 697, St. Anthony Waddo, Anjuna, Bardez, North
 Goa- 403509",9
North Goa,Bardez,Anjuna,HOTN000131,Sankesh Sea View Guest House,"H.No 35(1) Shapora, Anjuna, Bardez, North Goa-
 403515",7
North Goa,Bardez,Anjuna,HOTN000135,Chamunda Holiday Homes,"H.No 1609/2,Grand Chiwar, Anjuna, Bardez, North
 Goa",6
North Goa,Bardez,Anjuna,HOTN000139,El-Dourado Holiday Homes,"H.No.232/4,A&B Zhorvaddo,, Anjuna, Bardez, North
 Goa- 403509",17
North Goa,Bardez,Anjuna,HOTN000143,The Grand Leoney Resort,"H.No. 526/3f Vagator Beach Road, Anjuna, Bardez,
 North Goa- 403509",30
North Goa,Bardez,Anjuna,HOTN000162,Whoopers Boutique,"H.No.944/1, Pequeno, Peddem, Anjuna, Bardez, North
 Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN000165,Paradise Holiday Inn,"H.No.854/1, Soranto, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOTN000233,Euphemia Ad Fernandes,"H No 1770/1, Mazal Vaddo, Anjuna, Bardez, North
 Goa- 403502",1
North Goa,Bardez,Anjuna,HOTN000417,Poonam Guest House,"Demelo Vado, Anjuna, Bardez, North Goa- 403509",30
North Goa,Bardez,Anjuna,HOTN000447,Modest Holiday Homes,"H No 659/5, Dmello Vaddo, Anjuna, Bardez, North
 Goa- 403509",14
North Goa,Bardez,Anjuna,HOTN000521,Sere Resorts Goa,"Vagator Ozran Beach Road, Anjuna, Bardez, North Goa",23
North Goa,Bardez,Anjuna,HOTN000534,Ally Pally Guest House,"H.No. 486/3 Mendonca Waddo Vagator Beach Road,
 Anjuna, Bardez, North Goa- 403509",11
North Goa,Bardez,Anjuna,HOTN000573,Shiv Putra Ganesh House,"H. No 846/1 Sorantho Vaddo, Anjuna, Bardez, North
 Goa- 403504",6
North Goa,Bardez,Anjuna,HOTN000594,Guru Guest House,"Anjuna, Anjuna, Bardez, North Goa",10
North Goa,Bardez,Anjuna,HOTN000601,Sea View Apartments,"H No 487/1/ 16, Mendonca Vaddo Vagator, Anjuna,
 Bardez, North Goa",16
North Goa,Bardez,Anjuna,HOTN000602,Vila Nova,"H.No- 1160/3a,B,C,D,E,F,G,I Mazal Vaddo, Anjuna,
 Bardez, North Goa",15
North Goa,Bardez,Anjuna,HOTN000644,Pamela Palms,"H.No. 991/2a-11 Mazal Waddo, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000659,Close 2c Holiday Home,"912/1, 912/1a To 912/1g , Pequen Peddem, Anjuna,
 Bardez, North Goa- 403509",16
North Goa,Bardez,Anjuna,HOTN000676,"Fairfield By Marriott Goa
 Anjuna","H.No 1061/2-1061/6, Sim Waddo, Anjuna, Bardez,
 North Goa- 403509",130
North Goa,Bardez,Anjuna,HOTN000685,Vistamare,"H.No- 592/5, Small Vagator, Anjuna, Bardez, North
 Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN000687,Exortye Guest House,"H.No- 802, St Anthony Praias Vaddo, Anjuna, Bardez,
 North Goa",8
North Goa,Bardez,Anjuna,HOTN000688,Carmin Guest House,"H. No 745 St Michael Vado, Anjuna, Bardez, North
 Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN000689,Minguel Guest House,"H. No 745/1 St Michael Vado, Anjuna, Bardez, North
 Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN000694,Beach Way Guest House,"H. No 523, Opp Jolly Jolly Lester, Anjuna, Bardez,
 North Goa- 403509",10
North Goa,Bardez,Anjuna,HOTN000699,Paying Guest House,"758/2, St Michael Vaddo, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOTN000721,Desmond Jude Dsouza,"H.No- 776/2, Dando St Michael Vado, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000734,Josephine Guest House,"H. No 620 Vagator, Anjuna, Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN000737,Francisco Alvares,"Vagator, Anjuna, Bardez, North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN000739,Hill Top Goa Lodge,"H.No- 630, Vagator, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOTN000740,Spazio Leisure Resort,"H.No. 648/2-A, 648/2-C, 648/2-D, 648/2-H & 648/2-
 I, Dmello Waddo, Anjuna, Bardez, North Goa- 403509",44
North Goa,Bardez,Anjuna,HOTN000742,Jasons Guest House,"H.No. 845/2 Sorranto, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN000743,Paying Guest House,"H No.606 606(2),606(3) Vagator, Anjuna, Bardez,
 North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN000745,Baba Place Guest House,"H.No- 408, Near Chapora Fort, Anjuna, Bardez, North
 Goa- 403509",11
North Goa,Bardez,Anjuna,HOTN000757,Cochichos Resort,"H.No-534, Vagator, Anjuna, Bardez, North Goa-
 403509",24
North Goa,Bardez,Anjuna,HOTN000758,Shalom Guest House,"H.No 589, Small Vagator Ozran, Anjuna, Bardez, North
 Goa- 403509",9
North Goa,Bardez,Anjuna,HOTN000766,Sunset Guest House,"H.No- 757/1, Goenkar Waddo, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN000768,Anjuna Beach Resorts,"H No.725/1, Praias-De-Santo-Antonio, Anjuna,
 Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000769,Sai Ramnath Guest House,"H. No 1666/13, Deulwaddo, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000770,Sunset Guest House,"H.No- 791, Goenkar Waddo, Anjuna, Bardez, North
 Goa- 403509",6
North Goa,Bardez,Anjuna,HOTN000779,Green House,"H.No- 368/5a, Dabolwaddo Chpora, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000786,Casa De Olga,"H.No-343 Dabholwaddo, Anjuna, Bardez, North Goa-
 403509",2
North Goa,Bardez,Anjuna,HOTN000788,Blue Bird,"H. No 581 Small Vagator, Anjuna, Bardez, North Goa",5
North Goa,Bardez,Anjuna,HOTN000791,Urja Resort & Guest House,"372/1-A Casablanca Complex, Vagator Beach Road,
 Anjuna, Bardez, North Goa- 403509",7
North Goa,Bardez,Anjuna,HOTN000801,Yellow House,"H.No- 510, Vagator, Anjuna, Bardez, North Goa-
 403509",10
North Goa,Bardez,Anjuna,HOTN000814,Angels Haven Guest House,"H.No. 845 Sorranto, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOTN000854,Casa De Capitao,"H.No-667(1), St Anthony Priais Waddo, Anjuna,
 Bardez, North Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN000856,Lumen Guest House,"H.No-695, Demello Vaddo, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOTN000877,Roma Guest House,"H.No.774/3, St Michael Vaddo, Anjuna, Bardez, North
 Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN000878,Meraden La Oasis,"971/2 A,B,C,D,E& F Monteiro Vaddo,, Anjuna, Bardez,
 North Goa- 403509",18
North Goa,Bardez,Anjuna,HOTN000882,Meraden Opus,"967/2 A,B,C,D,E& F Peddem,, Anjuna, Bardez, North
 Goa- 403509",20
North Goa,Bardez,Anjuna,HOTN000887,Sunita Guest House,"H.No- 587/1, Vagator, Anjuna, Bardez, North Goa",9
North Goa,Bardez,Anjuna,HOTN000890,Janies Guest House,"H. No 530 Coutinho Vaddo, Vagator, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN000891,Paying Guest House,"H.No. 850, Soranto Vaddo, Anjuna, Bardez, North Goa",1
North Goa,Bardez,Anjuna,HOTN000892,Eliza Tinoco,"H.No-564 Vagator, Anjuna, Bardez, North Goa-
 403509",9
North Goa,Bardez,Anjuna,HOTN000893,St Anthony Guest House,"H.No-852, Soranto, Anjuna, Bardez, North Goa",10
North Goa,Bardez,Anjuna,HOTN000898,Manali Guest House,"H.No.687/3, Dmello Vaddo, Anjuna, Bardez, North Goa",10
North Goa,Bardez,Anjuna,HOTN000909,Gracy Dsouza,"H.No- 576, Small Vagator, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOTN000910,Benjamin Villa,"H.No-761 San Minguel Vaddo, Anjuna, Bardez, North
 Goa",2
North Goa,Bardez,Anjuna,HOTN000912,Lobo Guest House,"H.No- 727, Prias De St Anthonio, Anjuna, Bardez,
 North Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN000913,Lobo Guest House,"H.No- 726, Prias Vaddo, St Anthony, Anjuna, Bardez,
 North Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN000917,Evershine Guest House,"H. No 854 Soranto Vaddo, Anjuna, Bardez, North Goa-
 403509",8
North Goa,Bardez,Anjuna,HOTN000921,Sonic Guest House,"H.No- 807, St. Anthony Vaddo, Anjuna, Bardez, North
 Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN000940,Blue Nest Guest House,"H. No 847/1 Sorantto Vaddo, Anjuna, Bardez, North
 Goa",4
North Goa,Bardez,Anjuna,HOTN000942,Royal Star,"H. No-528/1 Big Vagator, Anjuna, Bardez, North Goa-
 403509",9
North Goa,Bardez,Anjuna,HOTN000946,Daynite,"H. No 564/1 Vagator, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOTN000954,Sun And Fun Guest House,"H. No 1626/2 Grand Chivar Nr. Petrol Pump, Anjuna,
 Bardez, North Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN000958,Avivenda Guest House,"Hno 800/3, Prais Vaddo, Anjuna, Bardez, North Goa",10
North Goa,Bardez,Anjuna,HOTN000962,Mira Cafe,"H.No-577/2, Vagator, Anjuna, Bardez, North Goa-
 403509",1
North Goa,Bardez,Anjuna,HOTN000963,Mira Cafe Guest House,"H.No-582, Vagator, Anjuna, Bardez, North Goa-
 403509",5
North Goa,Bardez,Anjuna,HOTN000964,Living Room,"H. No. 474/2b,2c,2d,2e, Vagator, Anjuna, Bardez,
 North Goa",18
North Goa,Bardez,Anjuna,HOTN000972,Sam & Sera,"H.No-1608 Grand Chivar, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOTN000976,Victor Guest House,"St, Anthoney Praise Waddo, Anjuna, Bardez, North
 Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN000997,Casa Natividade,"H.No.783,St Michael Vaddo, Anjuna, Bardez, North
 Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN001004,W Goa,"Vagator, Anjuna, Bardez, North Goa- 403509",109
North Goa,Bardez,Anjuna,HOTN001006,White House,"H.No 604 Small Vagator, Anjuna, Bardez, North Goa-
 403509",5
North Goa,Bardez,Anjuna,HOTN001012,Sailor'S Inn,"H.No. 723/1 Praias Vadho, Anjuna, Bardez, North Goa-
 403509",6
North Goa,Bardez,Anjuna,HOTN001030,Sunshine Vagator,"H. No 1655/3 Deul Waddo,Vagator, Anjuna, Bardez,
 North Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN001034,Coutinho'S Nest,"Countinos Nest House No 879/1, Anjuna, Bardez,
 North Goa- 403509",10
North Goa,Bardez,Anjuna,HOTN001035,Sunshine Anjuna,"H. No 722 St Anthony Praias, Anjuna, Bardez, North
 Goa- 403509",9
North Goa,Bardez,Anjuna,HOTN001040,Garden Villa,"H.No. 526 Beach Road, Anjuna, Bardez, North Goa-
 403509",10
North Goa,Bardez,Anjuna,HOTN001064,Henmil Holiday Homes,"H. No 852 (2) Soranto, Anjuna, Bardez, North Goa-
 403509",8
North Goa,Bardez,Anjuna,HOTN001070,Anjuna Beach Resort,"H. No 649 De Mello Vaddo, Anjuna, Bardez, North Goa-
 403509",24
North Goa,Bardez,Anjuna,HOTN001071,Paying Guest House,"H. No 531/1 Vagator, Anjuna, Bardez, North Goa-
 403509",3
North Goa,Bardez,Anjuna,HOTN001072,Peace Land Guest House,"H.No.1713, Soranto, Anjuna, Bardez, North Goa",12
North Goa,Bardez,Anjuna,HOTN001076,Ben Villa,"H.No.594 Ozran Vagator, Anjuna, Bardez, North Goa",4
North Goa,Bardez,Anjuna,HOTN001077,Annapurna Vishram Dhaam,"H. No 1061/1 Sim Waddo, Anjuna, Bardez, North Goa-
 403509",10
North Goa,Bardez,Anjuna,HOTN001079,Silver Moon Guest House,"H. No 854, Anjuna, Bardez, North Goa- 403509",6
North Goa,Bardez,Anjuna,HOTN001080,Pappi Chulo Hostel,"H. No 604/3 Small Vagator, Anjuna, Bardez, North
 Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN001087,Paying Guest House,"H. No 765/1 San Minguel Waddo, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001089,Antonette Dsouza,"H. No 53/1 Bondir Vaddo, Anjuna, Bardez, North Goa-
 403509",5
North Goa,Bardez,Anjuna,HOTN001090,Sabina Fernandes,"H. No 505 Vagator, Anjuna, Bardez, North Goa-
 403509",4
North Goa,Bardez,Anjuna,HOTN001091,Lamour,"H. No 496/1 Mohen Waddo, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN001092,Anthony Guest House,"H. No 375 Dabhol Vaddo, Anjuna, Bardez, North Goa-
 403509",1
North Goa,Bardez,Anjuna,HOTN001096,Paying Guest House,"H. No 531 Coutinho Vaddo, Anjuna, Bardez, North
 Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN001109,Lobo Guest House,"H.No- 725/2, Prias De, St Anthonio, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001110,Mahendra Guest House,"H. No 485/3 At Vagator, Anjuna, Bardez, North Goa-
 403509",5
North Goa,Bardez,Anjuna,HOTN001118,Sun And Fun Guest House,"H.No- 130, Bandir Wado, Shapor, Anjuna, Bardez,
 North Goa",2
North Goa,Bardez,Anjuna,HOTN001119,Flynns Place,"H. No 566 Small Vagator, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN001121,George Lobo Guest House,"H No. 504/1, Mouhen Vaddo, Vagator, Anjuna, Bardez,
 North Goa",2
North Goa,Bardez,Anjuna,HOTN001123,Guest House,"H. No 566 (2) Vagator, Anjuna, Bardez, North Goa-
 403509",2
North Goa,Bardez,Anjuna,HOTN001127,The Orange House,"H No.1111/2 Mazal Waddo, Anjuna, Bardez, North
 Goa- 403509",6
North Goa,Bardez,Anjuna,HOTN001132,Lornas Nest,"H. No 528 Coutinho Vaddo, Vagator, Anjuna, Bardez,
 North Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN001141,Dias Villa,"H No 926, Pequena Peddem, Anjuna, Bardez, North
 Goa",3
North Goa,Bardez,Anjuna,HOTN001142,Dalroys Inn,"H. No 776 San Minguel Vaddo, Anjuna, Bardez, North
 Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN001143,Mary Dsouza,"H. No 1099 Kutchem Bhatt, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001148,Paying Guest House,"H. No 636 Ozran Vagator, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN001152,Orange Guest House,"H No. 1098, Kurtchem Bhat, Anjuna, Bardez, North
 Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN001153,Paying Guest House,"H No.498 (1), Bhatlem Chapora, Anjuna, Bardez,
 North Goa",2
North Goa,Bardez,Anjuna,HOTN001183,Ashley Viegas Guest House,"H No.1801, Gaunvaddi, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN001185,Lourdes Fernandes,"H No. 633/1, Ozran Vagator, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001223,Palm Groove Guest House,"H.No 484(12) Deulwadda Vagator, Anjuna, Bardez,
 North Goa- 403509",10
North Goa,Bardez,Anjuna,HOTN001225,Philip Olinda Guest House,"H.No. 650, D Mello Waddo, Anjuna, Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN001226,Days Guest House,"H.No. 1112/1 Mazal Vaddo, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN001236,Papus Home,"H.No. 525/14 Albuquerque Vaddo Vagator, Anjuna,
 Bardez, North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN001238,The Belmonte By Ace,"H.No. 1540/1(A)-V Munag Chinvar, Anjuna, Bardez,
 North Goa- 403509",20
North Goa,Bardez,Anjuna,HOTN001274,Da Orange House,"H.No. 991/1 Mazal Waddo, Anjuna, Bardez, North
 Goa- 403509",20
North Goa,Bardez,Anjuna,HOTN001275,Orchid Beach House,"H.No- 985, Mazal Waddo, Anjuna, Bardez, North Goa-
 403509",18
North Goa,Bardez,Anjuna,HOTN001286,Martha Breakfast Home,"H.No. 908 Monteiro Vaddo, Anjuna, Bardez, North
 Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN001298,Pele'S Guest House,"H.No. 1666/1a Deulwaddo, Anjuna, Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN001311,Bellavue Resort,"H.No. 486(14) Vagator, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN001322,Paying Guest House,"H.No.1107/1 Mazal Vaddo, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001339,Pednekar Guest House,"H No. 1652, Deulwada Shapora, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001374,"Castelinhos Home Away From
 Home","H.No. 1704/1 Gumal Vaddo, Anjuna, Bardez, North
 Goa- 403509",10
North Goa,Bardez,Anjuna,HOTN001376,Pamela Palms,"H.No. 991/2a-25, Anjuna, Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001380,Casa Desai,"H.No. 1467/2 Kumar Vaddo Behind St Michael
 Church, Anjuna, Bardez, North Goa",6
North Goa,Bardez,Anjuna,HOTN001381,Paying Guest House,"H.No.572, Small Vagator, Anjuna, Bardez, North Goa",4
North Goa,Bardez,Anjuna,HOTN001389,Paying Guest House D. D Souza,"H.No. 600, Vagator, Anjuna, Bardez, North Goa-
 403509",9
North Goa,Bardez,Anjuna,HOTN001400,Leoney Resort,"H.No-563/1, Ozaran Beach Road Vagator, Anjuna,
 Bardez, North Goa- 403509",30
North Goa,Bardez,Anjuna,HOTN001402,Anjuna Blue,"H.No.649/1 Demello Vado, Anjuna, Bardez, North
 Goa- 403509",21
North Goa,Bardez,Anjuna,HOTN001409,Emperor Resort And Spa,"H.No. 529/2c3, 529/2c4, 2c5, 2c6, 2e1, 2e2 Vagator,
 Anjuna, Bardez, North Goa- 403509",18
North Goa,Bardez,Anjuna,HOTN001411,Dennis House,"Pequeen Peddem, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN001412,Roy House,"H.No.953, Pequem Peddem, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN001413,Custodio House,"H.No.967,Pequen Peddem, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN001419,Lino'S Guest House,"H.No. 56691) Vagator, Anjuna, Bardez, North Goa-
 403509",1
North Goa,Bardez,Anjuna,HOTN001422,Bikers Inn,"H.No. 727/1, St. Anthony Praia, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN001437,Amour Resort,"H.No. 529/3a1, 3a2, 3b1, 3b2, 3c1, 3c2, 3d1, 3d2, 3d3,
 3d4 Ozran Beach Road Vagator, Anjuna, Bardez, North Goa- 403509",9
North Goa,Bardez,Anjuna,HOTN001451,Bell Bottoms Hotels Pvt Ltd.,"H. No. 544/2, Ward No. 1, Survey No. 246/1, Anjuna,
 Bardez, North Goa",29
North Goa,Bardez,Anjuna,HOTN001453,Angelina Guest House,"H No.1715(2), Sorantto Vaddo, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN001454,Angelina Guest House,"H No.674/3, Dmello Vaddo, Anjuna, Bardez, North
 Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN001456,Zayo Guest House,"H.No. 1086/1, Kutchem Bhat, Anjuna, Bardez, North
 Goa- 403507",3
North Goa,Bardez,Anjuna,HOTN001483,White Castles Villa -B,"H.No.1621/3, Chiwar, Opp. Petrol Pump, Anjuna,
 Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN001513,Orritel Village Square,"Plot No. 399/7n Zorin, Anjuna, Bardez, North Goa-
 403509",30
North Goa,Bardez,Anjuna,HOTN001521,Jolly Jolly Roma,"H No 522 1/2 Anjuna, Anjuna, Bardez, North Goa",8
North Goa,Bardez,Anjuna,HOTN001532,Maria Santana Dsouza,"Hno-593 Anjuna, Anjuna, Bardez, North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN001538,Domnic Coutinho,"H.No. 899 Monteiro Vaddo, Anjuna, Bardez, North
 Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN001539,Paying Guest,"Anjuna, Anjuna, Bardez, North Goa",4
North Goa,Bardez,Anjuna,HOTN001540,Daying Guest,"Anjuna, Anjuna, Bardez, North Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN001541,Paying Guest House,"Anjuna, Anjuna, Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN001569,Shalom Cottages,"H No. 1262/A, 1262/B & 1262/C Gaumvaddi, Anjuna,
 Bardez, North Goa- 403509",3
